t=0, n=0, m=0, rp=0 ---------> 49380
t=1, n=41, m=12, rp=0 ---------> 49380
t=0, n=42, m=12, rp=0 ---------> 49380
t=1, n=42, m=12, rp=0 ---------> 49380
t=0, n=43, m=12, rp=0 ---------> 49380
t=1, n=43, m=12, rp=0 ---------> 49380
t=0, n=44, m=12, rp=0 ---------> 1.77468e+10
t=1, n=44, m=12, rp=0 ---------> 2.68348e+10
t=0, n=45, m=12, rp=0 ---------> -4.16957e+10
t=1, n=45, m=12, rp=0 ---------> 1.44523e+10
t=0, n=0, m=13, rp=0 ---------> 49380
t=1, n=0, m=13, rp=0 ---------> 49380
t=0, n=1, m=13, rp=0 ---------> 49380
t=1, n=1, m=13, rp=0 ---------> 49380
t=0, n=2, m=13, rp=0 ---------> 49380
t=1, n=2, m=13, rp=0 ---------> 49380
t=0, n=3, m=13, rp=0 ---------> 49380
t=1, n=3, m=13, rp=0 ---------> 49380
t=0, n=4, m=13, rp=0 ---------> 49380
t=1, n=4, m=13, rp=0 ---------> 49380
t=0, n=5, m=13, rp=0 ---------> 49380
t=1, n=5, m=13, rp=0 ---------> 49380
t=0, n=6, m=13, rp=0 ---------> 49380
t=1, n=6, m=13, rp=0 ---------> 49380
t=0, n=7, m=13, rp=0 ---------> 49380
t=1, n=7, m=13, rp=0 ---------> 49380
t=0, n=8, m=13, rp=0 ---------> 49380
t=1, n=8, m=13, rp=0 ---------> 49380
t=0, n=9, m=13, rp=0 ---------> 49380
t=1, n=9, m=13, rp=0 ---------> 49380
t=0, n=10, m=13, rp=0 ---------> 49380
t=1, n=10, m=13, rp=0 ---------> 49380
t=0, n=11, m=13, rp=0 ---------> 49380
t=1, n=11, m=13, rp=0 ---------> 49380
t=0, n=12, m=13, rp=0 ---------> 49380
t=1, n=12, m=13, rp=0 ---------> 49380
t=0, n=13, m=13, rp=0 ---------> 49380
t=1, n=13, m=13, rp=0 ---------> 49380
t=0, n=14, m=13, rp=0 ---------> 49380
t=1, n=14, m=13, rp=0 ---------> 49380
t=0, n=15, m=13, rp=0 ---------> 49380
t=1, n=15, m=13, rp=0 ---------> 49380
t=0, n=16, m=13, rp=0 ---------> 49380
t=1, n=16, m=13, rp=0 ---------> 49380
t=0, n=17, m=13, rp=0 ---------> 49380
t=1, n=17, m=13, rp=0 ---------> 49380
t=0, n=18, m=13, rp=0 ---------> 49380
t=1, n=18, m=13, rp=0 ---------> 49380
t=0, n=19, m=13, rp=0 ---------> 49380
t=1, n=19, m=13, rp=0 ---------> 49380
t=0, n=20, m=13, rp=0 ---------> 49380
t=1, n=20, m=13, rp=0 ---------> 49380
t=0, n=21, m=13, rp=0 ---------> 49380
t=1, n=21, m=13, rp=0 ---------> 49380
t=0, n=22, m=13, rp=0 ---------> 49380
t=1, n=22, m=13, rp=0 ---------> 49380
t=0, n=23, m=13, rp=0 ---------> 49380
t=1, n=23, m=13, rp=0 ---------> 49380
t=0, n=24, m=13, rp=0 ---------> 49380
t=1, n=24, m=13, rp=0 ---------> 49380
t=0, n=25, m=13, rp=0 ---------> 49380
t=1, n=25, m=13, rp=0 ---------> 49380
t=0, n=26, m=13, rp=0 ---------> 49380
t=1, n=26, m=13, rp=0 ---------> 49380
t=0, n=27, m=13, rp=0 ---------> 49380
t=1, n=27, m=13, rp=0 ---------> 49380
t=0, n=28, m=13, rp=0 ---------> 49380
t=1, n=28, m=13, rp=0 ---------> 49380
t=0, n=29, m=13, rp=0 ---------> 49380
t=1, n=29, m=13, rp=0 ---------> 49380
t=0, n=30, m=13, rp=0 ---------> 49380
t=1, n=30, m=13, rp=0 ---------> 49380
t=0, n=31, m=13, rp=0 ---------> 49380
t=1, n=31, m=13, rp=0 ---------> 49380
t=0, n=32, m=13, rp=0 ---------> 49380
t=1, n=32, m=13, rp=0 ---------> 49380
t=0, n=33, m=13, rp=0 ---------> 49380
t=1, n=33, m=13, rp=0 ---------> 49380
t=0, n=34, m=13, rp=0 ---------> 49380
t=1, n=34, m=13, rp=0 ---------> 49380
t=0, n=35, m=13, rp=0 ---------> 49380
t=1, n=35, m=13, rp=0 ---------> 49380
t=0, n=36, m=13, rp=0 ---------> 49380
t=1, n=36, m=13, rp=0 ---------> 49380
t=0, n=37, m=13, rp=0 ---------> 49380
t=1, n=37, m=13, rp=0 ---------> 49380
t=0, n=38, m=13, rp=0 ---------> 49380
t=1, n=38, m=13, rp=0 ---------> 49380
t=0, n=39, m=13, rp=0 ---------> 49380
t=1, n=39, m=13, rp=0 ---------> 49380
t=0, n=40, m=13, rp=0 ---------> 49380
t=1, n=40, m=13, rp=0 ---------> 49380
t=0, n=41, m=13, rp=0 ---------> 49380
t=1, n=41, m=13, rp=0 ---------> 49380
t=0, n=42, m=13, rp=0 ---------> 49380
t=1, n=42, m=13, rp=0 ---------> 49380
t=0, n=43, m=13, rp=0 ---------> 49380
t=1, n=43, m=13, rp=0 ---------> 49380
t=0, n=44, m=13, rp=0 ---------> 1.84363e+10
t=1, n=44, m=13, rp=0 ---------> 5.44298e+10
t=0, n=45, m=13, rp=0 ---------> -2.54386e+10
t=1, n=45, m=13, rp=0 ---------> 5.95492e+09
t=0, n=0, m=14, rp=0 ---------> 49380
t=1, n=0, m=14, rp=0 ---------> 49380
t=0, n=1, m=14, rp=0 ---------> 49380
t=1, n=1, m=14, rp=0 ---------> 49380
t=0, n=2, m=14, rp=0 ---------> 49380
t=1, n=2, m=14, rp=0 ---------> 49380
t=0, n=3, m=14, rp=0 ---------> 49380
t=1, n=3, m=14, rp=0 ---------> 49380
t=0, n=4, m=14, rp=0 ---------> 49380
t=1, n=4, m=14, rp=0 ---------> 49380
t=0, n=5, m=14, rp=0 ---------> 49380
t=1, n=5, m=14, rp=0 ---------> 49380
t=0, n=6, m=14, rp=0 ---------> 49380
t=1, n=6, m=14, rp=0 ---------> 49380
t=0, n=7, m=14, rp=0 ---------> 49380
t=1, n=7, m=14, rp=0 ---------> 49380
t=0, n=8, m=14, rp=0 ---------> 49380
t=1, n=8, m=14, rp=0 ---------> 49380
t=0, n=9, m=14, rp=0 ---------> 49380
t=1, n=9, m=14, rp=0 ---------> 49380
t=0, n=10, m=14, rp=0 ---------> 49380
t=1, n=10, m=14, rp=0 ---------> 49380
t=0, n=11, m=14, rp=0 ---------> 49380
t=1, n=11, m=14, rp=0 ---------> 49380
t=0, n=12, m=14, rp=0 ---------> 49380
t=1, n=12, m=14, rp=0 ---------> 49380
t=0, n=13, m=14, rp=0 ---------> 49380
t=1, n=13, m=14, rp=0 ---------> 49380
t=0, n=14, m=14, rp=0 ---------> 49380
t=1, n=14, m=14, rp=0 ---------> 49380
t=0, n=15, m=14, rp=0 ---------> 49380
t=1, n=15, m=14, rp=0 ---------> 49380
t=0, n=16, m=14, rp=0 ---------> 49380
t=1, n=16, m=14, rp=0 ---------> 49380
t=0, n=17, m=14, rp=0 ---------> 49380
t=1, n=17, m=14, rp=0 ---------> 49380
t=0, n=18, m=14, rp=0 ---------> 49380
t=1, n=18, m=14, rp=0 ---------> 49380
t=0, n=19, m=14, rp=0 ---------> 49380
t=1, n=19, m=14, rp=0 ---------> 49380
t=0, n=20, m=14, rp=0 ---------> 49380
t=1, n=20, m=14, rp=0 ---------> 49380
t=0, n=21, m=14, rp=0 ---------> 49380
t=1, n=21, m=14, rp=0 ---------> 49380
t=0, n=22, m=14, rp=0 ---------> 49380
t=1, n=22, m=14, rp=0 ---------> 49380
t=0, n=23, m=14, rp=0 ---------> 49380
t=1, n=23, m=14, rp=0 ---------> 49380
t=0, n=24, m=14, rp=0 ---------> 49380
t=1, n=24, m=14, rp=0 ---------> 49380
t=0, n=25, m=14, rp=0 ---------> 49380
t=1, n=25, m=14, rp=0 ---------> 49380
t=0, n=26, m=14, rp=0 ---------> 49380
t=1, n=26, m=14, rp=0 ---------> 49380
t=0, n=27, m=14, rp=0 ---------> 49380
t=1, n=27, m=14, rp=0 ---------> 49380
t=0, n=28, m=14, rp=0 ---------> 49380
t=1, n=28, m=14, rp=0 ---------> 49380
t=0, n=29, m=14, rp=0 ---------> 49380
t=1, n=29, m=14, rp=0 ---------> 49380
t=0, n=30, m=14, rp=0 ---------> 49380
t=1, n=30, m=14, rp=0 ---------> 49380
t=0, n=31, m=14, rp=0 ---------> 49380
t=1, n=31, m=14, rp=0 ---------> 49380
t=0, n=32, m=14, rp=0 ---------> 49380
t=1, n=32, m=14, rp=0 ---------> 49380
t=0, n=33, m=14, rp=0 ---------> 49380
t=1, n=33, m=14, rp=0 ---------> 49380
t=0, n=34, m=14, rp=0 ---------> 49380
t=1, n=34, m=14, rp=0 ---------> 49380
t=0, n=35, m=14, rp=0 ---------> 49380
t=1, n=35, m=14, rp=0 ---------> 49380
t=0, n=36, m=14, rp=0 ---------> 49380
t=1, n=36, m=14, rp=0 ---------> 49380
t=0, n=37, m=14, rp=0 ---------> 49380
t=1, n=37, m=14, rp=0 ---------> 49380
t=0, n=38, m=14, rp=0 ---------> 49380
t=1, n=38, m=14, rp=0 ---------> 49380
t=0, n=39, m=14, rp=0 ---------> 49380
t=1, n=39, m=14, rp=0 ---------> 49380
t=0, n=40, m=14, rp=0 ---------> 49380
t=1, n=40, m=14, rp=0 ---------> 49380
t=0, n=41, m=14, rp=0 ---------> 49380
t=1, n=41, m=14, rp=0 ---------> 49380
t=0, n=42, m=14, rp=0 ---------> 49380
t=1, n=42, m=14, rp=0 ---------> 49380
t=0, n=43, m=14, rp=0 ---------> 49380
t=1, n=43, m=14, rp=0 ---------> 49380
t=0, n=44, m=14, rp=0 ---------> 3.65825e+10
t=1, n=44, m=14, rp=0 ---------> 4.93593e+10
t=0, n=45, m=14, rp=0 ---------> 1.19977e+10
t=1, n=45, m=14, rp=0 ---------> -1.41057e+10
t=0, n=0, m=15, rp=0 ---------> 49380
t=1, n=0, m=15, rp=0 ---------> 49380
t=0, n=1, m=15, rp=0 ---------> 49380
t=1, n=1, m=15, rp=0 ---------> 49380
t=0, n=2, m=15, rp=0 ---------> 49380
t=1, n=2, m=15, rp=0 ---------> 49380
t=0, n=3, m=15, rp=0 ---------> 49380
t=1, n=3, m=15, rp=0 ---------> 49380
t=0, n=4, m=15, rp=0 ---------> 49380
t=1, n=4, m=15, rp=0 ---------> 49380
t=0, n=5, m=15, rp=0 ---------> 49380
t=1, n=5, m=15, rp=0 ---------> 49380
t=0, n=6, m=15, rp=0 ---------> 49380
t=1, n=6, m=15, rp=0 ---------> 49380
t=0, n=7, m=15, rp=0 ---------> 49380
t=1, n=7, m=15, rp=0 ---------> 49380
t=0, n=8, m=15, rp=0 ---------> 49380
t=1, n=8, m=15, rp=0 ---------> 49380
t=0, n=9, m=15, rp=0 ---------> 49380
t=1, n=9, m=15, rp=0 ---------> 49380
t=0, n=10, m=15, rp=0 ---------> 49380
t=1, n=10, m=15, rp=0 ---------> 49380
t=0, n=11, m=15, rp=0 ---------> 49380
t=1, n=11, m=15, rp=0 ---------> 49380
t=0, n=12, m=15, rp=0 ---------> 49380
t=1, n=12, m=15, rp=0 ---------> 49380
t=0, n=13, m=15, rp=0 ---------> 49380
t=1, n=13, m=15, rp=0 ---------> 49380
t=0, n=14, m=15, rp=0 ---------> 49380
t=1, n=14, m=15, rp=0 ---------> 49380
t=0, n=15, m=15, rp=0 ---------> 49380
t=1, n=15, m=15, rp=0 ---------> 49380
t=0, n=16, m=15, rp=0 ---------> 49380
t=1, n=16, m=15, rp=0 ---------> 49380
t=0, n=17, m=15, rp=0 ---------> 49380
t=1, n=17, m=15, rp=0 ---------> 49380
t=0, n=18, m=15, rp=0 ---------> 49380
t=1, n=18, m=15, rp=0 ---------> 49380
t=0, n=19, m=15, rp=0 ---------> 49380
t=1, n=19, m=15, rp=0 ---------> 49380
t=0, n=20, m=15, rp=0 ---------> 49380
t=1, n=20, m=15, rp=0 ---------> 49380
t=0, n=21, m=15, rp=0 ---------> 49380
t=1, n=21, m=15, rp=0 ---------> 49380
t=0, n=22, m=15, rp=0 ---------> 49380
t=1, n=22, m=15, rp=0 ---------> 49380
t=0, n=23, m=15, rp=0 ---------> 49380
t=1, n=23, m=15, rp=0 ---------> 49380
t=0, n=24, m=15, rp=0 ---------> 49380
t=1, n=24, m=15, rp=0 ---------> 49380
t=0, n=25, m=15, rp=0 ---------> 49380
t=1, n=25, m=15, rp=0 ---------> 49380
t=0, n=26, m=15, rp=0 ---------> 49380
t=1, n=26, m=15, rp=0 ---------> 49380
t=0, n=27, m=15, rp=0 ---------> 49380
t=1, n=27, m=15, rp=0 ---------> 49380
t=0, n=28, m=15, rp=0 ---------> 49380
t=1, n=28, m=15, rp=0 ---------> 49380
t=0, n=29, m=15, rp=0 ---------> 49380
t=1, n=29, m=15, rp=0 ---------> 49380
t=0, n=30, m=15, rp=0 ---------> 49380
t=1, n=30, m=15, rp=0 ---------> 49380
t=0, n=31, m=15, rp=0 ---------> 49380
t=1, n=31, m=15, rp=0 ---------> 49380
t=0, n=32, m=15, rp=0 ---------> 49380
t=1, n=32, m=15, rp=0 ---------> 49380
t=0, n=33, m=15, rp=0 ---------> 49380
t=1, n=33, m=15, rp=0 ---------> 49380
t=0, n=34, m=15, rp=0 ---------> 49380
t=1, n=34, m=15, rp=0 ---------> 49380
t=0, n=35, m=15, rp=0 ---------> 49380
t=1, n=35, m=15, rp=0 ---------> 49380
t=0, n=36, m=15, rp=0 ---------> 49380
t=1, n=36, m=15, rp=0 ---------> 49380
t=0, n=37, m=15, rp=0 ---------> 49380
t=1, n=37, m=15, rp=0 ---------> 49380
t=0, n=38, m=15, rp=0 ---------> 49380
t=1, n=38, m=15, rp=0 ---------> 49380
t=0, n=39, m=15, rp=0 ---------> 49380
t=1, n=39, m=15, rp=0 ---------> 49380
t=0, n=40, m=15, rp=0 ---------> 49380
t=1, n=40, m=15, rp=0 ---------> 49380
t=0, n=41, m=15, rp=0 ---------> 49380
t=1, n=41, m=15, rp=0 ---------> 49380
t=0, n=42, m=15, rp=0 ---------> 49380
t=1, n=42, m=15, rp=0 ---------> 49380
t=0, n=43, m=15, rp=0 ---------> 49380
t=1, n=43, m=15, rp=0 ---------> 49380
t=0, n=44, m=15, rp=0 ---------> 5.08122e+10
t=1, n=44, m=15, rp=0 ---------> 3.68411e+10
t=0, n=45, m=15, rp=0 ---------> 3.49979e+10
t=1, n=45, m=15, rp=0 ---------> 2.38432e+10
t=0, n=0, m=16, rp=0 ---------> 49380
t=1, n=0, m=16, rp=0 ---------> 49380
t=0, n=1, m=16, rp=0 ---------> 49380
t=1, n=1, m=16, rp=0 ---------> 49380
t=0, n=2, m=16, rp=0 ---------> 49380
t=1, n=2, m=16, rp=0 ---------> 49380
t=0, n=3, m=16, rp=0 ---------> 49380
t=1, n=3, m=16, rp=0 ---------> 49380
t=0, n=4, m=16, rp=0 ---------> 49380
t=1, n=4, m=16, rp=0 ---------> 49380
t=0, n=5, m=16, rp=0 ---------> 49380
t=1, n=5, m=16, rp=0 ---------> 49380
t=0, n=6, m=16, rp=0 ---------> 49380
t=1, n=6, m=16, rp=0 ---------> 49380
t=0, n=7, m=16, rp=0 ---------> 49380
t=1, n=7, m=16, rp=0 ---------> 49380
t=0, n=8, m=16, rp=0 ---------> 49380
t=1, n=8, m=16, rp=0 ---------> 49380
t=0, n=9, m=16, rp=0 ---------> 49380
t=1, n=9, m=16, rp=0 ---------> 49380
t=0, n=10, m=16, rp=0 ---------> 49380
t=1, n=10, m=16, rp=0 ---------> 49380
t=0, n=11, m=16, rp=0 ---------> 49380
t=1, n=11, m=16, rp=0 ---------> 49380
t=0, n=12, m=16, rp=0 ---------> 49380
t=1, n=12, m=16, rp=0 ---------> 49380
t=0, n=13, m=16, rp=0 ---------> 49380
t=1, n=13, m=16, rp=0 ---------> 49380
t=0, n=14, m=16, rp=0 ---------> 49380
t=1, n=14, m=16, rp=0 ---------> 49380
t=0, n=15, m=16, rp=0 ---------> 49380
t=1, n=15, m=16, rp=0 ---------> 49380
t=0, n=16, m=16, rp=0 ---------> 49380
t=1, n=16, m=16, rp=0 ---------> 49380
t=0, n=17, m=16, rp=0 ---------> 49380
t=1, n=17, m=16, rp=0 ---------> 49380
t=0, n=18, m=16, rp=0 ---------> 49380
t=1, n=18, m=16, rp=0 ---------> 49380
t=0, n=19, m=16, rp=0 ---------> 49380
t=1, n=19, m=16, rp=0 ---------> 49380
t=0, n=20, m=16, rp=0 ---------> 49380
t=1, n=20, m=16, rp=0 ---------> 49380
t=0, n=21, m=16, rp=0 ---------> 49380
t=1, n=21, m=16, rp=0 ---------> 49380
t=0, n=22, m=16, rp=0 ---------> 49380
t=1, n=22, m=16, rp=0 ---------> 49380
t=0, n=23, m=16, rp=0 ---------> 49380
t=1, n=23, m=16, rp=0 ---------> 49380
t=0, n=24, m=16, rp=0 ---------> 49380
t=1, n=24, m=16, rp=0 ---------> 49380
t=0, n=25, m=16, rp=0 ---------> 49380
t=1, n=25, m=16, rp=0 ---------> 49380
t=0, n=26, m=16, rp=0 ---------> 49380
t=1, n=26, m=16, rp=0 ---------> 49380
t=0, n=27, m=16, rp=0 ---------> 49380
t=1, n=27, m=16, rp=0 ---------> 49380
t=0, n=28, m=16, rp=0 ---------> 49380
t=1, n=28, m=16, rp=0 ---------> 49380
t=0, n=29, m=16, rp=0 ---------> 49380
t=1, n=29, m=16, rp=0 ---------> 49380
t=0, n=30, m=16, rp=0 ---------> 49380
t=1, n=30, m=16, rp=0 ---------> 49380
t=0, n=31, m=16, rp=0 ---------> 49380
t=1, n=31, m=16, rp=0 ---------> 49380
t=0, n=32, m=16, rp=0 ---------> 49380
t=1, n=32, m=16, rp=0 ---------> 49380
t=0, n=33, m=16, rp=0 ---------> 49380
t=1, n=33, m=16, rp=0 ---------> 49380
t=0, n=34, m=16, rp=0 ---------> 49380
t=1, n=34, m=16, rp=0 ---------> 49380
t=0, n=35, m=16, rp=0 ---------> 49380
t=1, n=35, m=16, rp=0 ---------> 49380
t=0, n=36, m=16, rp=0 ---------> 49380
t=1, n=36, m=16, rp=0 ---------> 49380
t=0, n=37, m=16, rp=0 ---------> 49380
t=1, n=37, m=16, rp=0 ---------> 49380
t=0, n=38, m=16, rp=0 ---------> 49380
t=1, n=38, m=16, rp=0 ---------> 49380
t=0, n=39, m=16, rp=0 ---------> 49380
t=1, n=39, m=16, rp=0 ---------> 49380
t=0, n=40, m=16, rp=0 ---------> 49380
t=1, n=40, m=16, rp=0 ---------> 49380
t=0, n=41, m=16, rp=0 ---------> 49380
t=1, n=41, m=16, rp=0 ---------> 49380
t=0, n=42, m=16, rp=0 ---------> 49380
t=1, n=42, m=16, rp=0 ---------> 49380
t=0, n=43, m=16, rp=0 ---------> 49380
t=1, n=43, m=16, rp=0 ---------> 49380
t=0, n=44, m=16, rp=0 ---------> 5.20825e+10
t=1, n=44, m=16, rp=0 ---------> 3.41529e+10
t=0, n=45, m=16, rp=0 ---------> 3.55327e+10
t=1, n=45, m=16, rp=0 ---------> -2.82271e+09
t=0, n=0, m=17, rp=0 ---------> 49380
t=1, n=0, m=17, rp=0 ---------> 49380
t=0, n=1, m=17, rp=0 ---------> 49380
t=1, n=1, m=17, rp=0 ---------> 49380
t=0, n=2, m=17, rp=0 ---------> 49380
t=1, n=2, m=17, rp=0 ---------> 49380
t=0, n=3, m=17, rp=0 ---------> 49380
t=1, n=3, m=17, rp=0 ---------> 49380
t=0, n=4, m=17, rp=0 ---------> 49380
t=1, n=4, m=17, rp=0 ---------> 49380
t=0, n=5, m=17, rp=0 ---------> 49380
t=1, n=5, m=17, rp=0 ---------> 49380
t=0, n=6, m=17, rp=0 ---------> 49380
t=1, n=6, m=17, rp=0 ---------> 49380
t=0, n=7, m=17, rp=0 ---------> 49380
t=1, n=7, m=17, rp=0 ---------> 49380
t=0, n=8, m=17, rp=0 ---------> 49380
t=1, n=8, m=17, rp=0 ---------> 49380
t=0, n=9, m=17, rp=0 ---------> 49380
t=1, n=9, m=17, rp=0 ---------> 49380
t=0, n=10, m=17, rp=0 ---------> 49380
t=1, n=10, m=17, rp=0 ---------> 49380
t=0, n=11, m=17, rp=0 ---------> 49380
t=1, n=11, m=17, rp=0 ---------> 49380
t=0, n=12, m=17, rp=0 ---------> 49380
t=1, n=12, m=17, rp=0 ---------> 49380
t=0, n=13, m=17, rp=0 ---------> 49380
t=1, n=13, m=17, rp=0 ---------> 49380
t=0, n=14, m=17, rp=0 ---------> 49380
t=1, n=14, m=17, rp=0 ---------> 49380
t=0, n=15, m=17, rp=0 ---------> 49380
t=1, n=15, m=17, rp=0 ---------> 49380
t=0, n=16, m=17, rp=0 ---------> 49380
t=1, n=16, m=17, rp=0 ---------> 49380
t=0, n=17, m=17, rp=0 ---------> 49380
t=1, n=17, m=17, rp=0 ---------> 49380
t=0, n=18, m=17, rp=0 ---------> 49380
t=1, n=18, m=17, rp=0 ---------> 49380
t=0, n=19, m=17, rp=0 ---------> 49380
t=1, n=19, m=17, rp=0 ---------> 49380
t=0, n=20, m=17, rp=0 ---------> 49380
t=1, n=20, m=17, rp=0 ---------> 49380
t=0, n=21, m=17, rp=0 ---------> 49380
t=1, n=21, m=17, rp=0 ---------> 49380
t=0, n=22, m=17, rp=0 ---------> 49380
t=1, n=22, m=17, rp=0 ---------> 49380
t=0, n=23, m=17, rp=0 ---------> 49380
t=1, n=23, m=17, rp=0 ---------> 49380
t=0, n=24, m=17, rp=0 ---------> 49380
t=1, n=24, m=17, rp=0 ---------> 49380
t=0, n=25, m=17, rp=0 ---------> 49380
t=1, n=25, m=17, rp=0 ---------> 49380
t=0, n=26, m=17, rp=0 ---------> 49380
t=1, n=26, m=17, rp=0 ---------> 49380
t=0, n=27, m=17, rp=0 ---------> 49380
t=1, n=27, m=17, rp=0 ---------> 49380
t=0, n=28, m=17, rp=0 ---------> 49380
t=1, n=28, m=17, rp=0 ---------> 49380
t=0, n=29, m=17, rp=0 ---------> 49380
t=1, n=29, m=17, rp=0 ---------> 49380
t=0, n=30, m=17, rp=0 ---------> 49380
t=1, n=30, m=17, rp=0 ---------> 49380
t=0, n=31, m=17, rp=0 ---------> 49380
t=1, n=31, m=17, rp=0 ---------> 49380
t=0, n=32, m=17, rp=0 ---------> 49380
t=1, n=32, m=17, rp=0 ---------> 49380
t=0, n=33, m=17, rp=0 ---------> 49380
t=1, n=33, m=17, rp=0 ---------> 49380
t=0, n=34, m=17, rp=0 ---------> 49380
t=1, n=34, m=17, rp=0 ---------> 49380
t=0, n=35, m=17, rp=0 ---------> 49380
t=1, n=35, m=17, rp=0 ---------> 49380
t=0, n=36, m=17, rp=0 ---------> 49380
t=1, n=36, m=17, rp=0 ---------> 49380
t=0, n=37, m=17, rp=0 ---------> 49380
t=1, n=37, m=17, rp=0 ---------> 49380
t=0, n=38, m=17, rp=0 ---------> 49380
t=1, n=38, m=17, rp=0 ---------> 49380
t=0, n=39, m=17, rp=0 ---------> 49380
t=1, n=39, m=17, rp=0 ---------> 49380
t=0, n=40, m=17, rp=0 ---------> 49380
t=1, n=40, m=17, rp=0 ---------> 49380
t=0, n=41, m=17, rp=0 ---------> 49380
t=1, n=41, m=17, rp=0 ---------> 49380
t=0, n=42, m=17, rp=0 ---------> 49380
t=1, n=42, m=17, rp=0 ---------> 49380
t=0, n=43, m=17, rp=0 ---------> 49380
t=1, n=43, m=17, rp=0 ---------> 49380
t=0, n=44, m=17, rp=0 ---------> 2.07895e+10
t=1, n=44, m=17, rp=0 ---------> 5.6043e+10
t=0, n=45, m=17, rp=0 ---------> -2.12248e+10
t=1, n=45, m=17, rp=0 ---------> 8.34934e+09
t=0, n=0, m=18, rp=0 ---------> 49380
t=1, n=0, m=18, rp=0 ---------> 49380
t=0, n=1, m=18, rp=0 ---------> 49380
t=1, n=1, m=18, rp=0 ---------> 49380
t=0, n=2, m=18, rp=0 ---------> 49380
t=1, n=2, m=18, rp=0 ---------> 49380
t=0, n=3, m=18, rp=0 ---------> 49380
t=1, n=3, m=18, rp=0 ---------> 49380
t=0, n=4, m=18, rp=0 ---------> 49380
t=1, n=4, m=18, rp=0 ---------> 49380
t=0, n=5, m=18, rp=0 ---------> 49380
t=1, n=5, m=18, rp=0 ---------> 49380
t=0, n=6, m=18, rp=0 ---------> 49380
t=1, n=6, m=18, rp=0 ---------> 49380
t=0, n=7, m=18, rp=0 ---------> 49380
t=1, n=7, m=18, rp=0 ---------> 49380
t=0, n=8, m=18, rp=0 ---------> 49380
t=1, n=8, m=18, rp=0 ---------> 49380
t=0, n=9, m=18, rp=0 ---------> 49380
t=1, n=9, m=18, rp=0 ---------> 49380
t=0, n=10, m=18, rp=0 ---------> 49380
t=1, n=10, m=18, rp=0 ---------> 49380
t=0, n=11, m=18, rp=0 ---------> 49380
t=1, n=11, m=18, rp=0 ---------> 49380
t=0, n=12, m=18, rp=0 ---------> 49380
t=1, n=12, m=18, rp=0 ---------> 49380
t=0, n=13, m=18, rp=0 ---------> 49380
t=1, n=13, m=18, rp=0 ---------> 49380
t=0, n=14, m=18, rp=0 ---------> 49380
t=1, n=14, m=18, rp=0 ---------> 49380
t=0, n=15, m=18, rp=0 ---------> 49380
t=1, n=15, m=18, rp=0 ---------> 49380
t=0, n=16, m=18, rp=0 ---------> 49380
t=1, n=16, m=18, rp=0 ---------> 49380
t=0, n=17, m=18, rp=0 ---------> 49380
t=1, n=17, m=18, rp=0 ---------> 49380
t=0, n=18, m=18, rp=0 ---------> 49380
t=1, n=18, m=18, rp=0 ---------> 49380
t=0, n=19, m=18, rp=0 ---------> 49380
t=1, n=19, m=18, rp=0 ---------> 49380
t=0, n=20, m=18, rp=0 ---------> 49380
t=1, n=20, m=18, rp=0 ---------> 49380
t=0, n=21, m=18, rp=0 ---------> 49380
t=1, n=21, m=18, rp=0 ---------> 49380
t=0, n=22, m=18, rp=0 ---------> 49380
t=1, n=22, m=18, rp=0 ---------> 49380
t=0, n=23, m=18, rp=0 ---------> 49380
t=1, n=23, m=18, rp=0 ---------> 49380
t=0, n=24, m=18, rp=0 ---------> 49380
t=1, n=24, m=18, rp=0 ---------> 49380
t=0, n=25, m=18, rp=0 ---------> 49380
t=1, n=25, m=18, rp=0 ---------> 49380
t=0, n=26, m=18, rp=0 ---------> 49380
t=1, n=26, m=18, rp=0 ---------> 49380
t=0, n=27, m=18, rp=0 ---------> 49380
t=1, n=27, m=18, rp=0 ---------> 49380
t=0, n=28, m=18, rp=0 ---------> 49380
t=1, n=28, m=18, rp=0 ---------> 49380
t=0, n=29, m=18, rp=0 ---------> 49380
t=1, n=29, m=18, rp=0 ---------> 49380
t=0, n=30, m=18, rp=0 ---------> 49380
t=1, n=30, m=18, rp=0 ---------> 49380
t=0, n=31, m=18, rp=0 ---------> 49380
t=1, n=31, m=18, rp=0 ---------> 49380
t=0, n=32, m=18, rp=0 ---------> 49380
t=1, n=32, m=18, rp=0 ---------> 49380
t=0, n=33, m=18, rp=0 ---------> 49380
t=1, n=33, m=18, rp=0 ---------> 49380
t=0, n=34, m=18, rp=0 ---------> 49380
t=1, n=34, m=18, rp=0 ---------> 49380
t=0, n=35, m=18, rp=0 ---------> 49380
t=1, n=35, m=18, rp=0 ---------> 49380
t=0, n=36, m=18, rp=0 ---------> 49380
t=1, n=36, m=18, rp=0 ---------> 49380
t=0, n=37, m=18, rp=0 ---------> 49380
t=1, n=37, m=18, rp=0 ---------> 49380
t=0, n=38, m=18, rp=0 ---------> 49380
t=1, n=38, m=18, rp=0 ---------> 49380
t=0, n=39, m=18, rp=0 ---------> 49380
t=1, n=39, m=18, rp=0 ---------> 49380
t=0, n=40, m=18, rp=0 ---------> 49380
t=1, n=40, m=18, rp=0 ---------> 49380
t=0, n=41, m=18, rp=0 ---------> 49380
t=1, n=41, m=18, rp=0 ---------> 49380
t=0, n=42, m=18, rp=0 ---------> 49380
